id,run_id,pipeline_name,batch_id,log_date,log_hour,error_request_count,total_request_count,error_rate,distinct_error_hosts
266563,16,hive,1,1995-07-21,22,0,24,0.00,0
266564,16,hive,1,1995-07-21,23,0,40,0.00,0
266565,16,hive,1,1995-07-22,0,0,31,0.00,0
266566,16,hive,1,1995-07-22,1,2,60,3.33,1
266567,16,hive,1,1995-07-22,2,0,17,0.00,0
266568,16,hive,1,1995-07-22,3,0,29,0.00,0
266569,16,hive,1,1995-07-22,4,0,9,0.00,0
266570,16,hive,1,1995-07-22,5,0,75,0.00,0
266571,16,hive,1,1995-07-22,6,0,31,0.00,0
266653,16,hive,1,1995-07-25,16,8,740,1.08,4
266654,16,hive,1,1995-07-25,17,3,634,0.47,2
266655,16,hive,1,1995-07-25,18,0,314,0.00,0
266656,16,hive,1,1995-07-25,19,1,144,0.69,1
266657,16,hive,1,1995-07-25,20,0,182,0.00,0
266658,16,hive,1,1995-07-25,21,0,131,0.00,0
266659,16,hive,1,1995-07-25,22,3,96,3.13,1
266572,16,hive,1,1995-07-22,7,0,30,0.00,0
266573,16,hive,1,1995-07-22,8,0,25,0.00,0
266574,16,hive,1,1995-07-22,9,0,37,0.00,0
266575,16,hive,1,1995-07-22,10,0,41,0.00,0
266576,16,hive,1,1995-07-22,11,1,55,1.82,1
266577,16,hive,1,1995-07-22,12,0,119,0.00,0
266578,16,hive,1,1995-07-22,13,0,134,0.00,0
266579,16,hive,1,1995-07-22,14,2,169,1.18,1
266580,16,hive,1,1995-07-22,15,0,122,0.00,0
266581,16,hive,1,1995-07-22,16,2,204,0.98,1
266582,16,hive,1,1995-07-22,17,0,52,0.00,0
266583,16,hive,1,1995-07-22,18,0,225,0.00,0
266584,16,hive,1,1995-07-22,19,0,26,0.00,0
266585,16,hive,1,1995-07-22,20,0,67,0.00,0
266586,16,hive,1,1995-07-22,21,0,12,0.00,0
266587,16,hive,1,1995-07-22,22,0,72,0.00,0
266588,16,hive,1,1995-07-22,23,0,35,0.00,0
266589,16,hive,1,1995-07-23,0,4,95,4.21,3
266590,16,hive,1,1995-07-23,1,0,6,0.00,0
266591,16,hive,1,1995-07-23,2,0,5,0.00,0
266592,16,hive,1,1995-07-23,3,0,54,0.00,0
266593,16,hive,1,1995-07-23,4,0,45,0.00,0
266594,16,hive,1,1995-07-23,5,0,68,0.00,0
266595,16,hive,1,1995-07-23,6,0,37,0.00,0
266596,16,hive,1,1995-07-23,7,0,22,0.00,0
266597,16,hive,1,1995-07-23,8,0,101,0.00,0
266598,16,hive,1,1995-07-23,9,0,52,0.00,0
266599,16,hive,1,1995-07-23,10,0,46,0.00,0
266600,16,hive,1,1995-07-23,11,0,110,0.00,0
266601,16,hive,1,1995-07-23,12,0,40,0.00,0
266602,16,hive,1,1995-07-23,13,0,61,0.00,0
266603,16,hive,1,1995-07-23,14,0,88,0.00,0
266604,16,hive,1,1995-07-23,15,0,90,0.00,0
266605,16,hive,1,1995-07-23,16,0,46,0.00,0
266606,16,hive,1,1995-07-23,17,0,141,0.00,0
266607,16,hive,1,1995-07-23,18,0,88,0.00,0
266608,16,hive,1,1995-07-23,19,0,87,0.00,0
266609,16,hive,1,1995-07-23,20,0,147,0.00,0
266610,16,hive,1,1995-07-23,21,0,71,0.00,0
266611,16,hive,1,1995-07-23,22,0,161,0.00,0
266612,16,hive,1,1995-07-23,23,0,41,0.00,0
266613,16,hive,1,1995-07-24,0,0,38,0.00,0
266614,16,hive,1,1995-07-24,1,0,36,0.00,0
266660,16,hive,1,1995-07-25,23,0,38,0.00,0
266661,16,hive,1,1995-07-26,0,0,11,0.00,0
266662,16,hive,1,1995-07-26,1,2,51,3.92,1
266663,16,hive,1,1995-07-26,2,0,47,0.00,0
266664,16,hive,1,1995-07-26,3,0,58,0.00,0
266665,16,hive,1,1995-07-26,4,0,65,0.00,0
266666,16,hive,1,1995-07-26,5,0,37,0.00,0
266667,16,hive,1,1995-07-26,6,2,154,1.30,2
266668,16,hive,1,1995-07-26,7,1,416,0.24,1
266669,16,hive,1,1995-07-26,8,2,871,0.23,2
266670,16,hive,1,1995-07-26,9,2,615,0.33,2
266671,16,hive,1,1995-07-26,10,0,531,0.00,0
266672,16,hive,1,1995-07-26,11,2,693,0.29,2
266673,16,hive,1,1995-07-26,12,7,1189,0.59,3
266674,16,hive,1,1995-07-26,13,10,1153,0.87,3
266675,16,hive,1,1995-07-26,14,2,1058,0.19,2
266676,16,hive,1,1995-07-26,15,2,999,0.20,1
266677,16,hive,1,1995-07-26,16,4,848,0.47,3
266678,16,hive,1,1995-07-26,17,0,605,0.00,0
266679,16,hive,1,1995-07-26,18,1,441,0.23,1
266680,16,hive,1,1995-07-26,19,0,220,0.00,0
266681,16,hive,1,1995-07-26,20,0,105,0.00,0
266682,16,hive,1,1995-07-26,21,0,122,0.00,0
266683,16,hive,1,1995-07-26,22,1,215,0.47,1
266684,16,hive,1,1995-07-26,23,0,117,0.00,0
266685,16,hive,1,1995-07-27,0,0,121,0.00,0
266686,16,hive,1,1995-07-27,1,0,72,0.00,0
266687,16,hive,1,1995-07-27,2,0,32,0.00,0
266688,16,hive,1,1995-07-27,3,0,77,0.00,0
266689,16,hive,1,1995-07-27,4,1,190,0.53,1
266690,16,hive,1,1995-07-27,5,0,126,0.00,0
266691,16,hive,1,1995-07-27,6,0,148,0.00,0
266692,16,hive,1,1995-07-27,7,6,396,1.52,3
266693,16,hive,1,1995-07-27,8,4,680,0.59,2
266694,16,hive,1,1995-07-27,9,1,739,0.14,1
266695,16,hive,1,1995-07-27,10,1,889,0.11,1
266696,16,hive,1,1995-07-27,11,5,972,0.51,3
266697,16,hive,1,1995-07-27,12,2,903,0.22,2
266698,16,hive,1,1995-07-27,13,4,1207,0.33,2
266699,16,hive,1,1995-07-27,14,5,1037,0.48,2
266700,16,hive,1,1995-07-27,15,4,871,0.46,1
266701,16,hive,1,1995-07-27,16,0,810,0.00,0
266702,16,hive,1,1995-07-27,17,9,637,1.41,3
266703,16,hive,1,1995-07-27,18,0,233,0.00,0
266704,16,hive,1,1995-07-27,19,1,175,0.57,1
